codigo;empresas;caminhos
848;LEILA RODRIGUES BELONI CARAPIA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\848\Saida\2024\Maio
870;GELMAQ COMERCIO DE PECAS E SERVICOS LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\870\Saida\2024\Maio
880;BEE BOOZE BRAZIL LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\880\Saida\2024\Maio
893;M3 COMERCIO DE PRODUTOS LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\893\Saida\2024\Maio
894;VINETO COMERCIO DE UTILIDADES DOMESTICAS LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\894\Saida\2024\Maio
898;WORLD GARDEN LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\898\Saida\2024\Maio
914;MATOSO COMERCIO LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\914\Saida\2024\Maio
928;ARTE SEDUÇÃO COMERCIO E DISTRIBUIDORA DE COSMETICOS LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\928\Saida\2024\Maio
946;DTE INDUSTRIA E COMERCIO DE BEBIDAS LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\946\Saida\2024\Maio
960;BALASSA & BONFATTI MAGAZINE LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\960\Saida\2024\Maio
962;BALASSA & BONFATTI MAGAZINE LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\962\Saida\2024\Maio
966;BALASSA & BONFATTI MAGAZINE LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\966\Saida\2024\Maio
970;BABO COMERCIO E INDUSTRIA, SERVIÇOS E PARTICIPAÇÕES LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\970\Saida\2024\Maio
975;HOTEL ARPOAR JOAO PESSOA LTDA;C:\Troca de arquivos Unico\TI\Gabriel
988;LR SEGURANCA ELETRONICA LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\988\Saida\2024\Maio
992;SOLVE MANUTENCAO E MONTAGEM LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\992\Saida\2024\Maio
1000;AUTOMOTRIZ SERVICOS MECANICOS E MAANAIM AUTOPECAS LTDA;C:\Troca de arquivos Unico\TI\Gabriel
1005;ALS BAUEN ENGENHARIA LTDA;C:\Troca de arquivos Unico\TI\Gabriel
1007;COMIDINHAS DA FLOR LTDA;C:\Troca de arquivos Unico\TI\Gabriel
1010;Andre dos Santos Silva Consultoria Empresarial Ltda;C:\Troca de arquivos Unico\TI\Gabriel
1021;Aroma de Cafe e Chocolates Ltda;C:\Troca de arquivos Unico\TI\Gabriel
1024;SMART MARKET - MERCADO AUTONOMO LTDA;C:\Troca de arquivos Unico\TI\Gabriel
1033;BR AUTO IMPORT LTDA;C:\Troca de arquivos Unico\TI\Gabriel
1035;SUCAO FMG LIMEIRA LTDA;C:\Troca de arquivos Unico\TI\Gabriel
1041;HUMMER COMERCIO E SERVICOS DE TELECOMUNICACOES LTDA.;C:\Troca de arquivos Unico\TI\Gabriel
1049;DASP COMERCIO E SERVICOS TECNOLOGICOS LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\1049\Saida\2024\Maio
1051;COLINA FMG SUPERMERCADO LTDA;C:\Troca de arquivos Unico\TI\Gabriel
1052;VERAO FRUT COMERCIAL LTDA - EPP;C:\Troca de arquivos Unico\TI\Gabriel
1057;TUDO & MAIS UM POUCO DISTRIBUIDORA E SERVICOS LTDA;C:\Troca de arquivos Unico\TI\Gabriel
1058;OLD MAN DISTRIBUIDORA LTDA;C:\Troca de arquivos Unico\TI\Gabriel
1063;KMG CHOCOLATES LTDA;C:\Troca de arquivos Unico\TI\Gabriel
1064;KMG CHOCOLATES LTDA;C:\Troca de arquivos Unico\TI\Gabriel
1065;ACADEMIA DO DIAGNOSTICO AUTOMOTIVO TREINAMENTOS & EQUIPAMENTOS LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\1065\Saida\2024\Maio
1066;VIDA MOVIMENTO FASHION RETAIL LTDA;C:\Troca de arquivos Unico\TI\Gabriel
1075;BAU DOS DOCES E BISCOITOS LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\1075\Saida\2024\Maio
10003;SUPER COMPRA DO DIA COMERCIO DIGITAL LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10003\Saida\2024\Maio
10011;REDE NAILS - SERVICOS E COMERCIO DE COSMETICOS LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10011\Saida\2024\Maio
10014;MR COMERCIO VAREJISTA DE BRINQUEDOS LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10014\Saida\2024\Maio
10015;KIBUNITINHO - LEMBRANCINHAS E PERSONALIZADOS LTDA.;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10015\Saida\2024\Maio
10016;ALPHA CAMP COMERCIO ATACADISTA E VAREJISTA LTDA;C:\Troca de arquivos Unico\TI\Gabriel
10017;CENTRO OPTICO ESPECIALIZADO LTDA;C:\Troca de arquivos Unico\TI\Gabriel
10018;CENTRO OPTICO ESPECIALIZADO LTDA;C:\Troca de arquivos Unico\TI\Gabriel
10019;FH OPTICAL - COMERCIO DE ARTIGOS DE OPTICA LTDA;C:\Troca de arquivos Unico\TI\Gabriel
10028;Rico Comercio de Equipamentos de Informatica Ltda;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10028\Saida\2024\Maio
10034;Felipe Gomes Corti Santo;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10034\Saida\2024\Maio
10035;Romao Comercio de Pecas e Acessorios Ltda;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10035\Saida\2024\Maio
10049;Rodrigo Santos Oliveira;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10049\Saida\2024\Maio
10051;Daniela de S. S. Neto;C:\Troca de arquivos Unico\TI\Gabriel
10054;Fontoura Store Ltda;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10054\Saida\2024\Maio
10057;Cristiano Ribeiro de Souza 28911790800;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10057\Saida\2024\Maio
10058;Multi Supri Comercial e Importadora Ltda;C:\Troca de arquivos Unico\TI\Gabriel
10069;P N de C dos Santos;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10069\Saida\2024\Maio
10075;Thiago Olivatti;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10075\Saida\2024\Maio
10082;T. Zanelli Nascimento Comercio;C:\Troca de arquivos Unico\TI\Gabriel
10090;R.D.R. Confeccao e Comercio de Vestuario Ltda;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10090\Saida\2024\Maio
10106;Saluz Comercio Online Ltda;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10106\Saida\2024\Maio
10138;M. A. Vendas Digitais Ltda;C:\Troca de arquivos Unico\TI\Gabriel
10139;William da Silva Guimaraes;C:\Troca de arquivos Unico\TI\Gabriel
10149;Muzie Loja Virtual Ltda;C:\Troca de arquivos Unico\TI\Gabriel
10155;Daiana Freire dos Santos Pereira;C:\Troca de arquivos Unico\TI\Gabriel
10171;Dkola Adesivos Acessorios & Utilidades Ltda;C:\Troca de arquivos Unico\TI\Gabriel
10191;Thais Aparecida Reis Serio;C:\Troca de arquivos Unico\TI\Gabriel
10198;Tyngs Variedades Ltda;C:\Troca de arquivos Unico\TI\Gabriel
10210;H. Meiry M. Santos G;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10210\Saida\2024\Maio
10211;Exponex Comercio Varejista Ltda;C:\Troca de arquivos Unico\TI\Gabriel
10804;URSO COMERCIO DE CALCADOS LTDA;C:\Troca de arquivos Unico\TI\Gabriel
10805;DGH COMERCIO DE COSMETICOS LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10805\Saida\2024\Maio
10806;DGH COMERCIO DE COSMETICOS LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10806\Saida\2024\Maio
10807;SAMURAI DISTRIBUIDORA DE AUTO PECAS E ACESSORIOS LTDA.;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10807\Saida\2024\Maio
10808;M3 STORE COMERCIO DE PRODUTOS LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10808\Saida\2024\Maio
10810;ISLA COMERCIO DE COSMETICOS LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10810\Saida\2024\Maio
10811;G9 SOLUCOES LTDA;C:\Troca de arquivos Unico\TI\Gabriel
10812;G9 SOLUCOES LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10812\Saida\2024\Maio
10813;COMERCIO DE COSMETICOS E PERFUMES DE LUXO IMPORTADOS DAILU LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10813\Saida\2024\Maio
10814;COSMETICOS E PRODUTOS COMERCIO DE LUXO CEVELO LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10814\Saida\2024\Maio
10820;NEW DIGIT COMRCIO DE INFORMTICA EIRELI;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10820\Saida\2024\Maio
10821;MOVEIS MINIMAL LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10821\Saida\2024\Maio
10822;MARCO ANTONIO REIS LIMA MARCENARIA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10822\Saida\2024\Maio
10824;LUA DE CRISTAL LIVRARIA E PAPELARIA LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10824\Saida\2024\Maio
10826;LACERDA LIVRARIA E PAPELARIA LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10826\Saida\2024\Maio
10827;STIPE COMERCIO VAREJISTA LTDA;C:\Troca de arquivos Unico\TI\Gabriel
10828;M BIG COMERCIO VAREJISTA E SERVICOS LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10828\Saida\2024\Maio
10829;ETC & TAL COMERCIO VAREJISTA LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10829\Saida\2024\Maio
10830;VIFER COMERCIO DE FERRO E ACO LTDA;C:\Troca de arquivos Unico\TI\Gabriel\NF-e\10830\Saida\2024\Maio
10831;NICE FOODS LTDA;C:\Troca de arquivos Unico\TI\Gabriel
